"0.824383","0.0087950748","525.30768",0
"0.299129","0.04","503.388",0
"0.105428","0.0456621005","482.3604",0
"0.0150218","0.2222222222","464.5188",0
"0.0411176","0.1470588235","455.08824",0
"0.0201887","0.1052631579","414.94464",0
"0.0777794","0.1136363636","410.22936",0
"0.202612","0.0925925926","386.7804",0
"0.0427286","0.1162790698","299.99376",0
"0.0450798","0.0833333333","290.43576",0
"0.0184325","0.0909090909","269.5356",0
"0.0290276","0.0066489362","268.8984",0
"0.428882","0.0735294118","255.5172",0
"0.291727","0.0199203187","246.46896",0
"0.11611","0.0138504155","160.06464",0
1,"0.002712968","75.31704",0
